"Ticker","Nome","Negócios","Última (R$)","Variação"
"CSRN3","COSERN","3.400","15,85","-1,80%"
"CGAS5","Comgás","3.300","112,98","+0,11%"
"PATI3","Panatlântica","3.200","31,80","+15,64%"
"MNDL3","Mundial","3.200","13,69","-3,18%"
"ALPA3","Alpargatas","2.800","7,87","+1,68%"
"CLSC4","Celesc","2.600","78,55","+0,15%"
"COCE5","Coelce","2.600","31,75","+1,15%"
"CEBR3","CEB","2.500","20,11","+1,57%"
"TELB3","Telebras","2.400","14,05","+0,79%"
"BPAC5","Banco BTG Pactual","2.400","9,55","+1,17%"
"RSUL4","Metalúrgica Riosulense","2.300","64,00","-1,54%"
"BSLI3","Banco de Brasília","2.300","11,00","+9,78%"
"BAZA3","Banco da Amazônia","2.200","94,02","+0,02%"
"AFLT3","Afluente T","2.200","7,07","-2,35%"
"BEES4","Banestes","2.100","9,74","+3,51%"
"CEEB3","COELBA","2.000","39,00","-0,51%"
"CPLE5","Copel","1.700","12,92","+7,67%"
"NORD3","Nordon","1.700","11,80","+7,27%"
"TELB4","Telebras","1.500","9,19","+0,55%"
"BAHI3","Bahema","1.500","6,85","-2,00%"
"CTSA3","Santanense","1.500","2,67","-1,11%"
"HAGA3","Haga","1.500","2,44","+1,67%"
"MNPR3","Minupar","1.400","16,30","+1,88%"
"CEBR5","CEB","1.300","17,00","+0,00%"
"GEPA4","Rio Paranapanema Energia","1.200","26,00","-0,04%"
"CSRN6","COSERN","1.100","16,75","-1,47%"
"DTCY3","Dtcom","1.100","5,74","+0,00%"
"EMAE4","EMAE","1.000","41,57","+0,51%"
"EQMA3B","Equatorial Maranhão","1.000","25,00","-1,92%"
"DOHL4","Döhler","1.000","4,17","+1,46%"
"CSRN5","COSERN","900","16,56","-3,21%"
"MERC4","Mercantil do Brasil Financeira","900","9,40","+0,97%"
"EKTR4","Elektro","800","43,30","+5,74%"
"REDE3","Rede Energia","800","6,88","+0,88%"
"BSLI4","Banco de Brasília","700","9,92","+1,12%"
"WHRL3","Whirlpool","700","4,35","+3,82%"
"ESTR4","Estrela","700","2,22","+7,25%"
"BMKS3","Monark","625","310,00","-0,96%"
"BGIP3","Banese","500","28,02","+3,59%"
"CTKA4","Karsten","500","20,00","+6,55%"
"WLMM4","WLM","400","33,00","+1,23%"
"TEKA4","Teka","400","30,00","-0,03%"
"UNIP5","Unipar","300","49,50","+1,43%"
"AHEB5","São Paulo Turismo","300","35,00","+82,29%"
"CRPG6","Tronox Pigmentos","300","29,97","-0,07%"
"FIEI3","Fica","300","11,00","-7,17%"
"MAPT3","Cemepe","300","4,23","+0,48%"
"BNBR3","Banco do Nordeste","200","103,99","+2,45%"
"LIPR3","Eletropar","200","47,50","+0,68%"
"MSPA4","Melhoramentos","200","36,30","-1,89%"
"FESA3","Ferbasa","200","14,05","-0,92%"
"IGTI4","Iguatemi","200","10,20","-0,29%"
"IGTI4","Jereissati Participações","200","10,20","-0,29%"
"PINE3","Banco Pine","200","5,63","+1,62%"
"FRIO3","Metalfrio","100","180,00","-4,66%"
"TKNO4","Tekno","100","84,00","+0,00%"
"ENMT4","Energisa MT","100","81,00","+7,28%"
"CLSC3","Celesc","100","72,99","+0,68%"
"MSPA3","Melhoramentos","100","42,70","-0,70%"
"HBTS5","Habitasul","100","38,95","-3,11%"
"AHEB3","São Paulo Turismo","100","35,00","+0,00%"
"CGRA3","Grazziotin","100","25,79","+1,02%"
"EUCA3","Eucatex","100","16,65","+3,54%"
"BALM3","Baumer","100","11,80","-5,60%"
"BALM4","Baumer","100","11,00","+1,38%"
"RPAD3","Alfa Holdings","5.500","9,40","+6,33%"
"BIOM11","BIOM11","2.900","0,29","-6,45%"
"HOOT4","Hotéis Othon","700","2,44","+9,42%"
"CGAS3","Comgás","600","109,00","+0,90%"
"BMEB3","Banco Mercantil do Brasil","600","34,00","-3,13%"
"CEDO4","Cedro Têxtil","500","25,00","-2,34%"
"MAPT4","Cemepe","500","5,00","-3,85%"
"MRSA6B","MRS Logística","300","32,50","+0,00%"
"GSHP3","General Shopping & Outlets","300","11,50","+9,52%"
"PATI4","Panatlântica","100","33,00","+22,18%"
"CEDO3","Cedro Têxtil","100","26,11","+0,04%"
"PTNT3","Pettenati","100","9,14","-0,54%"
"SGPS3","Springs","19.800","1,64","-6,29%"
"CTNM4","Coteminas","5.000","0,86","-2,27%"
"APER3","Alper","3.300","46,31","-0,04%"
"BMIN4","Banco Mercantil de Investimentos","1.100","16,00","+2,89%"
"BDLL4","Bardella","700","9,09","-1,20%"
"MWET4","Wetzel","200","9,34","+0,00%"
"CTKA3","Karsten","100","20,00","+0,00%"
"EQPA5","Equatorial Energia Pará","100","9,00","+12,50%"
"RPAD6","Alfa Holdings","500","8,73","-0,80%"
"PEAB3","Participações Aliança da Bahia","300","43,00","+0,00%"
"CEED3","CEEE D","200","13,00","+0,00%"
"COCE3","Coelce","100","33,00","+3,12%"
"BRSR5","Banrisul","100","17,00","+6,25%"
"HETA4","Hercules","100","5,21","+0,00%"
"USIM6","Usiminas","400","12,01","-14,21%"
"CTNM3","Coteminas","100","7,13","-2,06%"
"GEPA3","Rio Paranapanema Energia","800","25,01","-5,62%"
"PINE11","Banco Pine","500","6,44","-1,08%"
"BAUH4","Excelsior","300","78,89","-0,75%"
"WLMM3","WLM","300","27,83","+1,20%"
"RPAD5","Alfa Holdings","100","8,56","+0,59%"
"LUXM4","Trevisa","1.000","14,00","-6,42%"
"BRKM6","Braskem","400","13,50","+0,00%"
"MOAR3","Monteiro Aranha","100","397,87","+0,73%"
"MRSA3B","MRS Logística","200","32,99","+0,00%"
