,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
190,MLAS3,200,-229,046,0435,"0,00%",282,052,-226,077,-231,-256,"-19,30%","-19,01%",345,"-16,50%","-20,23%","7.014.740,00","3.542.230.000,00",026,"-7,77%"
191,ARLA4,338,-221,-062,2137,"0,00%",442,-031,-674,-029,-1787,-1787,"-31,72%","-96,55%",10,"-13,71%","28,00%",000,"-24.319.000,00",-102,"-47,46%"
192,LIXC4,145,-217,126,328110,"0,00%",57,023,-349,318,-565,-592,"-9.413,21%","-14.386,80%",134,"-1,90%","-57,85%",000,"13.842.000,00",079,"-75,90%"
193,MMXM3,1400,-217,-011,0000,"0,00%",710,-010,470,-009,1864,1864,"0,00%","0,00%",1,"25,93%","4,97%",000,"-842.661.000,00",-032,"-28,51%"
194,APTI4,"3.500,00",-216,031,1921,"0,00%",139,039,-2539,-089,-1968,-6370,"-7,56%","-89,04%",926,"-0,64%","-14,45%",000,"213.107.000,00",025,"-2,97%"
195,OGXP3,163,-215,-098,0000,"0,00%",925,000,-1646,000,-1646,-1646,"0,00%","0,00%",0,"0,00%","45,53%",000,"-53.901.000,00",000,"0,00%"
196,VTLM3,079,-207,-065,390404,"0,00%",53237,-072,-288,-064,-288,-294,"-13.548,50%","-18.860,60%",0,"521,70%","31,47%",000,"-19.776.000,00",000,"43,48%"
197,TRAD3,083,-203,049,4117,"0,00%",457,205,-294,206,-161,-223,"-139,84%","-203,60%",463,"-19,61%","-24,05%","700.810,00","477.113.000,00",000,"-40,70%"
198,SJOS3,119,-202,-009,8940,"0,00%",3866,-010,-8033,-009,-21311,-21311,"-11,13%","-442,57%",2,"0,49%","4,54%",000,"-175.230.000,00",-016,"2,37%"
199,ARCZ3,366,-188,195,1096,"0,00%",369,153,950,-084,2818,2818,"11,54%","-58,02%",286,"4,03%","-103,98%",000,"1.934.210.000,00",392,"0,75%"
200,ARCZ6,363,-186,194,1087,"0,00%",366,152,942,-084,2810,2810,"11,54%","-58,02%",286,"4,03%","-103,98%",000,"1.934.210.000,00",392,"0,75%"
201,BISA3,158,-177,118,1692,"0,00%",321,086,-402,-764,-621,-928,"-42,05%","-96,36%",222,"-8,50%","-66,94%",000,"1.788.370.000,00",077,"-24,23%"
202,BCAL6,028,-170,-007,1946,"0,00%",13030,-009,3877,-007,45265,45265,"5,02%","-114,49%",1,"38,97%","4,10%",000,"-290.863.000,00",-074,"37,74%"
203,DJON4,018,-170,022,-0956,"0,00%",166,-129,-142,-085,-198,-198,"67,37%","56,33%",24,"-12,02%","-12,84%",000,"2.702.000,00",009,"45,19%"
204,SPRI6,1100,-168,124,0000,"0,00%",1196,233,-321,247,-286,-288,"0,00%","0,00%",6647,"-42,86%","-73,82%",000,"22.420.000,00",000,"-7,33%"
205,BLUT4,152,-166,014,0000,"0,00%",41,-022,-1269,-006,-2374,-2374,"0,00%","0,00%",0,"-0,33%","-8,24%","10.453,20","56.569.000,00",012,"0,00%"
206,GSHP3,1451,-166,-003,0178,"0,00%",18,-046,062,-001,3958,3783,"28,76%","-10,72%",81,"3,11%","2,01%","1.471,57","-840.571.000,00",-221,"4,39%"
207,GLOB4,3049,-162,065,0096,"0,00%",90,-061,199,-020,681,384,"4,81%","-5,91%",74,"6,25%","-40,32%",000,"4.434.000.000,00",195,"4,63%"
208,ARLA3,247,-162,-045,1562,"0,00%",323,-022,-492,-021,-1606,-1606,"-31,72%","-96,55%",10,"-13,71%","28,00%",000,"-24.319.000,00",-102,"-47,46%"
209,SPRI3,1051,-161,119,0000,"0,00%",1143,223,-307,236,-272,-274,"0,00%","0,00%",6647,"-42,86%","-73,82%",000,"22.420.000,00",000,"-7,33%"
210,SCLO4,041,-160,-244,0000,"0,00%",21108,-224,-279,-222,-298,-298,"0,00%","0,00%",1,"-782,59%","152,53%",000,"-161.253,00",-017,"0,00%"
211,SDIA4,642,-159,941,0397,"0,00%",418,-329,953,-083,2315,2315,"4,16%","-25,09%",78,"5,89%","-590,66%",000,"459.230.000,00",1727,"13,42%"
212,SDIA3,642,-159,941,0397,"0,00%",418,-329,953,-083,2315,2315,"4,16%","-25,09%",78,"5,89%","-590,66%",000,"459.230.000,00",1727,"13,42%"
213,DUQE3,2800,-158,-1129,12103,"0,00%",428,-074,-165,-057,-270,-298,"-732,92%","-767,60%",33,"-28,21%","715,74%",000,"-6.987.000,00",-719,"-42,70%"
214,ESTR3,1200,-142,-018,0607,"0,00%",332,-017,-2463,-014,-4603,-9657,"-2,46%","-42,60%",22,"-1,60%","12,38%",000,"-549.899.000,00",-015,"9,53%"
215,CTSA4,239,-135,029,0617,"0,00%",105,129,-114,-032,-414,-510,"-54,35%","-45,69%",137,"-10,65%","-21,36%","331.125,00","230.512.000,00",091,"-24,78%"
216,SPRI5,852,-130,096,0000,"0,00%",927,181,-249,191,-214,-215,"0,00%","0,00%",6647,"-42,86%","-73,82%",000,"22.420.000,00",000,"-7,33%"
217,IDVL4,267,-126,116,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-91,76%",000,"237.683.000,00",000,"0,00%"
218,DOTZ3,770,-122,-046,0734,"0,00%",341,-055,-247,-027,-250,-699,"-29,65%","-59,93%",44,"-25,73%","37,49%","93.729,20","-222.238.000,00",-047,"3,03%"
219,PMET6,020,-121,-005,1390,"0,00%",9307,-007,2769,-005,44157,44157,"5,02%","-114,49%",1,"38,97%","4,10%",000,"-290.863.000,00",-074,"37,74%"
220,LIGH3,1666,-117,610,0534,"0,00%",339,-061,-314,-041,-741,-1080,"-17,00%","-45,54%",18,"-11,69%","-520,24%",000,"1.072.860.000,00",831,"3,50%"
221,VIVR3,495,-114,586,1413,"0,00%",385,1909,-393,-085,-374,-386,"-35,97%","-124,12%",104,"-11,03%","-514,44%","1.566.090,00","19.987.000,00",097,"2,88%"
222,LGLO4,10000,-105,065,0225,"0,00%",192,-032,-124,-032,-213,-213,"-18,10%","-21,47%",14,"-18,37%","-62,51%",000,"5.191.000,00",049,"-11,42%"
223,IDVL3,216,-102,093,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-91,76%",000,"237.683.000,00",000,"0,00%"
224,FHER3,755,-101,1043,0074,"0,00%",143,100,-108,-058,-097,-109,"-6,88%","-7,38%",124,"-24,47%","-1.033,75%","88.001,30","38.987.000,00",005,"49,83%"
225,JFEN3,208,-099,-006,0522,"0,00%",40,-018,-061,-004,-865,-883,"-86,07%","-57,56%",78,"-7,27%","6,43%","192.048,00","-683.911.000,00",-089,"24,41%"
226,DHBI3,1900,-083,-017,0869,"0,00%",343,-016,-368,-013,-2458,-5955,"-23,58%","-154,81%",12,"-10,50%","21,03%",000,"-456.340.000,00",-099,"-23,62%"
227,LETO5,206,-083,-014,0000,"0,00%",248,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","17,05%",000,"-58.642.000,00",000,"-17,38%"
228,IENG3,015,-081,099,1717,"0,00%",110,-117,388,-030,2511,2511,"44,29%","-224,61%",85,"2,84%","-122,41%",000,"52.234.000,00",545,"8,13%"
229,LATM11,2865,-068,002,0006,"0,00%",3,-002,005,000,774,774,"11,46%","-0,39%",49,"6,55%","-2,37%",000,"11.357.000.000,00",292,"16,69%"
230,CELM3,1500,-067,-016,0257,"0,00%",132,-021,-102,-010,-426,-426,"-25,14%","-38,36%",44,"-15,60%","23,41%",000,"-11.104.000,00",-066,"5,80%"
231,BAHI11,200,-065,122,0140,"0,00%",85,-022,-399,-010,-1747,4628,"-3,51%","-22,11%",13,"-2,19%","-188,32%",000,"43.092.000,00",438,"63,05%"
232,IENG5,012,-065,079,1374,"0,00%",88,-093,310,-024,2433,2433,"44,29%","-224,61%",85,"2,84%","-122,41%",000,"52.234.000,00",545,"8,13%"
233,FRTA3,179,-065,-005,0489,"0,00%",122,-004,-107,-004,-2000,-2178,"-45,64%","-75,70%",3,"-16,16%","7,67%","16.426,50","-74.222.000,00",-088,"-4,37%"
234,TXRX3,420,-060,-005,0111,"0,00%",84,-008,16718,-004,"2.960,46",6693,"0,07%","-18,70%",32,"0,07%","8,34%",2100,"-359.822.000,00",-083,"16,24%"
235,BRPR3,13117,-057,005,0695,"3.299,44%",38,173,1211,-049,-370,-255,"5,74%","-123,98%",112,"0,35%","-9,34%",000,"1.136.910.000,00",007,"-25,05%"
236,CTSA8,100,-057,012,0258,"0,00%",44,054,-048,-013,-348,-428,"-54,35%","-45,69%",137,"-10,65%","-21,36%",000,"230.512.000,00",091,"-24,78%"
237,BHIA3,1035,-055,022,0033,"0,00%",30,-021,068,-007,549,309,"4,81%","-5,91%",74,"6,25%","-40,32%","53.981.100,00","4.434.000.000,00",195,"4,63%"
238,CTNM3,800,-052,102,0204,"0,00%",74,-024,-061,-013,-333,-452,"-33,48%","-70,52%",49,"-14,43%","-197,20%","7.148,77","240.294.000,00",543,"-4,20%"
239,ESTR4,418,-050,-006,0211,"0,00%",116,-006,-858,-005,-2997,-6289,"-2,46%","-42,60%",22,"-1,60%","12,38%","3.462,32","-549.899.000,00",-015,"9,53%"
